Ability,Income,edu_inv1,Income_decile,Ability_decile,EFC,OUR_SAT_needAid,OUR_SAT,number,level_tuition_A,level_tuition_B,level_tuition_C,level_tuition_D,level_tuition_E
16.19732524849421,2.5517838493153078,0.1275891924657654,2,3,-9.255845506714618,10.626951510433184,10.626951510433184,0,1.6,0.8,0.7,0.5,0
17.32964552768987,5.667110794549241,0.22668443178196962,3,4,-7.76048857300233,10.942720211824284,10.942720211824284,1,1.6,0.8,0.7,0.5,0
16.614674559286602,4.60610563422633,0.23030528171131648,2,4,-8.269771049957328,10.912363236961436,10.912363236961436,2,1.6,0.8,0.7,0.5,0
14.768773204385557,5.65000217647173,0.2260000870588692,3,2,-7.768700709679535,10.788988752088784,10.788988752088784,3,1.6,0.8,0.7,0.5,0
15.171064542438955,8.53810449407335,0.25614313482220047,4,2,-6.382411597230758,10.878157850113674,10.878157850113674,4,1.6,0.8,0.7,0.5,0
14.444220905483368,8.932867091165821,0.26798601273497463,4,2,-6.192925550626371,10.8475832518589,10.8475832518589,5,1.6,0.8,0.7,0.5,0
14.364269386394778,1.146413580722128,0.09171308645777025,1,2,-9.930423235639344,10.446887500765447,10.446887500765447,6,1.6,0.8,0.7,0.5,0
16.035566901441022,5.175271714679027,0.20701086858716106,3,3,-7.996571331340032,10.82514517607504,10.82514517607504,7,1.6,0.8,0.7,0.5,0
17.407920074877698,5.184593088600637,0.20738372354402546,3,4,-7.99209707185766,10.898405769263368,10.898405769263368,8,1.6,0.8,0.7,0.5,0
14.356362860553224,11.47344932223487,0.2294689864446974,5,2,-4.973446079713227,10.767128323232612,10.767128323232612,9,1.6,0.8,0.7,0.5,0
15.501801818172506,4.605264966323947,0.23026324831619738,2,3,-8.27017457055047,10.845901034970298,10.845901034970298,10,1.6,0.8,0.7,0.5,0
18.172321607992934,7.370298747041275,0.22110896241123826,4,5,-6.942958355806153,10.97135812825271,10.97135812825271,11,1.6,0.8,0.7,0.5,0
19.497092779394503,6.803947346805791,0.27215789387223166,3,5,-7.214807027919186,11.167767894548065,11.167767894548065,12,1.6,0.8,0.7,0.5,0
14.753713215450922,3.7994218786120606,0.18997109393060305,2,2,-8.656979252652176,10.711228514207095,10.711228514207095,13,1.6,0.8,0.7,0.5,0
19.05236623475588,2.1112187491623313,0.1688974999329865,1,5,-9.467316754788046,10.864112262136253,10.864112262136253,14,1.6,0.8,0.7,0.5,0
16.05005862244805,5.646643954738419,0.22586575818953677,3,3,-7.770312656111524,10.869547202984128,10.869547202984128,15,1.6,0.8,0.7,0.5,0
15.62617498050475,4.622541942888018,0.23112709714440094,2,3,-8.261881621799716,10.855577660849775,10.855577660849775,16,1.6,0.8,0.7,0.5,0
20.04718352171032,4.154079412117429,0.20770397060587148,2,5,-8.4867436365696,11.018897763006047,11.018897763006047,17,1.6,0.8,0.7,0.5,0
14.555229670042594,5.797584084795476,0.23190336339181905,3,2,-7.6978613936841365,10.786177068833764,10.786177068833764,18,1.6,0.8,0.7,0.5,0
16.994690694502502,0.0,0.0,1,4,-10.480701754385965,10.0,10.0,19,1.6,0.8,0.7,0.5,0
16.811616134857616,1.4862499071896753,0.11889999257517403,1,4,-9.767301798934922,10.625158076264105,10.625158076264105,20,1.6,0.8,0.7,0.5,0
19.110386649788147,16.843028718955075,0.3368605743791015,5,5,-2.3960479692875296,11.301984160433042,11.301984160433042,21,1.6,0.8,0.7,0.5,0
14.92661452603674,1.4897267384093693,0.11917813907274954,1,2,-9.765632919949468,10.548151886259014,10.548151886259014,22,1.6,0.8,0.7,0.5,0
14.938530466957417,4.308570916798747,0.21542854583993734,2,2,-8.412587714322566,10.778079529817116,10.778079529817116,23,1.6,0.8,0.7,0.5,0
13.656157516303868,1.5917701922712881,0.12734161538170305,1,1,-9.716652062095747,10.504397258548329,10.504397258548329,24,1.6,0.8,0.7,0.5,0
19.65230520956277,16.251533415413235,0.3250306683082647,5,5,-2.6799657149876124,11.305371389924536,11.305371389924536,25,1.6,0.8,0.7,0.5,0
13.473038257949096,0.0,0.0,1,1,-10.480701754385965,10.0,10.0,26,1.6,0.8,0.7,0.5,0
16.862595269901632,10.36146320507548,0.20722926410150963,5,4,-5.507199415949734,10.870294779729672,10.870294779729672,27,1.6,0.8,0.7,0.5,0
11.666380324439487,2.999063454554727,0.14995317272773634,2,1,-9.041151296199697,10.402477152542167,10.402477152542167,28,1.6,0.8,0.7,0.5,0
18.84197820008177,10.323770136634955,0.20647540273269913,5,5,-5.525292088801186,10.963513003496605,10.963513003496605,29,1.6,0.8,0.7,0.5,0
11.566529547766054,0.0,0.0,1,1,-10.480701754385965,10.0,10.0,30,1.6,0.8,0.7,0.5,0
19.11609065367237,6.290980879430765,0.2516392351772306,3,5,-7.461030932259198,11.096429648681283,11.096429648681283,31,1.6,0.8,0.7,0.5,0
15.868951621510469,7.1785122046751795,0.21535536614025538,4,3,-7.0350158961418785,10.834971551590098,10.834971551590098,32,1.6,0.8,0.7,0.5,0
16.972238555375114,8.514843902275604,0.2554453170682681,4,4,-6.393576681293675,10.991033660157836,10.991033660157836,33,1.6,0.8,0.7,0.5,0
14.250778815772993,9.75310837590285,0.195062167518057,5,2,-5.799209733952598,10.690039870660494,10.690039870660494,34,1.6,0.8,0.7,0.5,0
12.806624387825435,7.102642272540804,0.2130792681762241,4,1,-7.071433463566379,10.613189721929697,10.613189721929697,35,1.6,0.8,0.7,0.5,0
12.295872529940187,4.875391385789008,0.19501565543156033,3,1,-8.140513889207242,10.535956543795086,10.535956543795086,36,1.6,0.8,0.7,0.5,0
17.778813173880216,3.0605823725434624,0.15302911862717314,2,4,-9.011622215565103,10.766110077636759,10.766110077636759,37,1.6,0.8,0.7,0.5,0
19.9492551500334,1.189234025042719,0.09513872200341751,1,5,-9.90986942236546,10.640213677158057,10.640213677158057,38,1.6,0.8,0.7,0.5,0
17.489272471990827,6.799470402436094,0.27197881609744373,3,4,-7.21695596121664,11.05899996415453,11.05899996415453,39,1.6,0.8,0.7,0.5,0
